,note,sort,stat,code,fd,name,parent,freq,tb,sdt
0,账面市值比，即公司股东权益与市值的比值。账面市值比=最近报告期股东权益合计/最新公司市值,16,1,M001001,p.p1,账面市值比,M001,D,metrics.comm_idx_price_his_a,2007-04-30
1,近1年股息率，即最近1年公司合计派现占市值比重。年派现_市值比=最近1年公司的合计派现/公司市值,18,1,M001003,p.p3,近1年股息率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
2,近3年股息率，即最近3年公司合计派现占市值比重。近3年派现_市值比=最近3年公司的合计派现/公司市值,19,1,M001004,p.p4,近3年股息率,M001,D,metrics.comm_idx_price_his_a,2010-04-30
3,企业价值倍数，即企业价值与（扣除非经常性损益后）息税折旧及摊销前利润的比值。企业倍数=企业价值/税息折旧摊销前利润=EV/EBITDA,17,0,M001005,p.p5,企业价值倍数,M001,Q,metrics.comm_idx_price_his_a,2008-04-30
4,市盈率相对盈利增长比率，即公司市盈率与未来盈利增长率的比值。PEG=PE/未来1年的每股收益增长率,20,0,M001006,p.p6,市盈率相对盈利增长比率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
5,市盈率LTM，即公司股价与最近12月每股收益的比值，或公司市值与归属母公司净利润LTM的比值。PE=市值/净利润(LTM),1,1,M001007,pe,市盈率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
6,市销率LTM，即股价与最近12月每股营业收入的比值，或公司市值与营业收入的比值。PS=市场价值/营业收入(LTM),3,1,M001009,ps,市销率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
7,市现率LTM，即股价与最近12月每股经营现金流的比值，或公司市值与经营活动产生的现金流量的比值。PCF=市值/经营活动产生的现金流量净额(LTM),4,1,M001010,pcf,市现率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
8,市盈率，即市值与净利润之比。市盈率YTD=最新市值/（最近报告期净利润*年化系数）,5,0,M001011,p.p7,市盈率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
9,市净率，反映市值和净资产的比率，净资产即公司的账面价值。市净率YTD=最新市值/最近报告期净资产,2,1,M001012,pb,市净率,M001,D,metrics.comm_idx_price_his_a,2007-04-30
10,市销率，即市值与营业收入的比值。市销率YTD=最新市值/（最近报告期营业收入*年化系数）,6,0,M001013,p.p9,市销率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
11,市现率，即市值与现金流量净额的比值。市现率YTD=市值/（最近报告期现金流量净额*年化系数）,7,0,M001014,p.p10,市现率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
12,相对PE，即公司市盈率与行业平均市盈率的比值。相对PE=市盈率LTM/行业平均市盈率,8,1,M001015,p.p11,相对市盈率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
13,相对PS，即公司市销率与行业平均市销率的比值。相对PS=市销率LTM/行业平均市销率,10,1,M001016,p.p12,相对市销率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
14,相对PB，即公司市净率与行业平均市净率的比值。相对PB=市净率YTD/行业平均市净率,9,1,M001017,p.p13,相对市净率,M001,D,metrics.comm_idx_price_his_a,2007-04-30
15,相对PCF，即公司市现率与行业平均市现率的比值。相对PCF=市现率LTM/行业平均市现率,11,1,M001018,p.p14,相对市现率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
16,盈利市值比EP，即市盈率倒数。盈利市值比EP=最近12个月净利润/最新市值市值=1/市盈率LTM,12,1,M001019,p.p7,盈利市值比EP,M001,D,metrics.comm_idx_price_his_a,2008-04-30
17,净资产市值比BP，即市净率倒数。净资产市值比BP=最近报告期净资产/最新市值=1/市净率YTD,13,1,M001020,pb,净资产市值比BP,M001,D,metrics.comm_idx_price_his_a,2008-04-30
18,现金流市值比CFP，即市现率倒数。现金流市值比CFP=最近12个月现金流量净额/最新市值=1/市现率LTM,15,1,M001021,p.p10,现金流市值比CFP,M001,D,metrics.comm_idx_price_his_a,2008-04-30
19,营业收入市值比SP，市销率倒数。营业收入市值比SP=最近12个月营业收入/最新市值=1/市销率LTM,14,1,M001022,p.p9,营业收入市值比SP,M001,D,metrics.comm_idx_price_his_a,2008-04-30
20,经营现金流量净额_总市值比，即经营活动产生的现金流量净额占公司总市值的比重。经营现金流量净额_市值比=经营活动产生的现金流量净额/总市值*100,37,0,M002007,p.p19,经营现金流量净额_总市值比LTM,M002,D,metrics.comm_idx_price_his_a,2008-04-30
21,股本，即公司股东所占的权益。股本=股票面值*股份总数,131,1,M004001,tos,股本,M004,D,metrics.comm_idx_price_his_a,2007-04-30
22,流通股本，即公司已发行股本中在二级市场流通的股份。,132,1,M004002,tfs,流通股本,M004,D,metrics.comm_idx_price_his_a,2007-04-30
23,流通比例，即流通股本占总股本的比例。流通比例=流通股本/总股本,133,1,M004003,p.p20,流通比例,M004,D,metrics.comm_idx_price_his_a,2007-04-30
24,流通市值对数值流通市值对数值=ln（流通市值）,137,1,M004005,p.p22,流通市值对数值,M004,D,metrics.comm_idx_price_his_a,2007-04-30
25,总市值是指在某特定时间内总股本数乘以当时股价得出的股票总价值。总市值对数值=ln（总市值）,135,1,M004006,p.p23,总市值对数值,M004,D,metrics.comm_idx_price_his_a,2007-04-30
26,总资产对数值=ln（总资产）,138,1,M004007,p.p24,总资产对数值,M004,D,metrics.comm_idx_price_his_a,2007-04-30
27,ACD指标将市场分为两股收集（买入）及派发（估出）的力量。若当天收市价高于昨天收市价，则收集力量等于当天收市价与真实低位之差。真实低位是当天低位与昨天收市价两者中的最低者。若当天收市价低于昨天收市价，则派发力量等于当天收市价与真实高位之差。真实高位是当天高位与昨天收市价两者较高者；若将收集力量（正数）及派发力量（负数）相加，我们便可得到市场的净收集力量，从而了解市场的强弱。,179,1,M007001,items.acd,ACD收集派发指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
28,ASI累计振动升降指标通过比较过去一段时间股价开高低收的关系来判读股价的长期趋势。当ASI为正，说明趋势会继续；当ASI为负，说明趋势会终结。,180,1,M007002,items.asi,ASI累计振动升降指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
29,DX系统共有DI_P、 DI_N、 DX、ADX、 ADXR五个指标,181,0,M007003,items.dx,DX方向移动指数,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
30,EMV指标是一个动量型指标，通过股价变动与成交量之间的关系去刻画股价的动量。当EMV大于0，说明股价有上升的动能；当EMV小于0，说明股价有下降的压力。,182,1,M007004,items.emv,EMV简易波动指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
31,MACD称为指数平滑异同平均线，是从双指数移动平均线发展而来的，由快的指数移动平均线（EMA）减去慢的指数移动平均线。当MACD从负数转向正数，是买的信号；当MACD从正数转向负数，是卖的信号。,184,1,M007005,items.macd,MACD平滑异同平均指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
32,移动平均指标计算证券价格在过去一段时间内的平均值。计算移动平均值有多种方法，例如简单平均、指数平均,183,0,M007006,items.ma,MA移动平均指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
33,TEMA是对单一指数移动平均、双重指数移动平均和三重指数移动平均的综合，当存在趋势时，该指标的时滞与3个组成要素中的任何一个都要短。,185,1,M007007,items.tema,TEMA三重指数移动平均,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
34,TS指标用来统计近期涨跌情况的简单指标，当价格上涨分数为正，价格下跌分数为负，通过TS的高低来判读当前行情的趋势。,188,1,M007008,items.ts,TS趋势分数,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
35,三角移动平均线(TMA)是对简单移动平均线进行再平均，并使其更加平滑，即TMA 是平均价格的平均值。相比于其他移动平均线，TMA 有时能够更快地对价格变化作出反应。,186,1,M007009,items.tma,TMA三角移动平均线,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
36,TRIX契克斯是动量指标，显示了收盘价的三重指数移动平均的百分变化率，该指标在零线附近摆动，它的三重指数平滑被设计来过滤掉“不重要的”周期。证券价格与TRIX之间的背离也有助于辨别转折点。,187,0,M007010,items.trix,TRIX契克斯,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
37,VHF指标用来判断当前行情处于趋势阶段还是振荡阶段，类似MACD等指标也能帮助识别行情趋势，但当行情处于盘整阶段时会经常发出错误信号，而RSI在振荡行情时能准确识别超买超卖的状态，但在趋势行情时总是发出错误信号。VHF指标通过识别趋势的强弱，来帮助投资者选择相应的指标（如MACD或RSI）,189,1,M007011,items.vhf,VHF垂直水平过滤指标,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
38,VMACD指标与MACD指标的唯一区别是VMACD是基于成交量计算的，用来识别成交量的,190,1,M007012,items.vmacd,VMACD量指数平滑异同移动平均线,M007,W,metrics.comm_idx_tech_his_a,2007-04-30
39,"AR指标是反映市场当前情况下多空双方力量发展对比的结果。它是以当日的开盘价为基点,与当日最高价当、最低价相比较，通过开盘价在股价中的地位反应市场买卖的人气。",168,1,M008001,items.ar,AR指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
40,BR指标是反映当前情况下多空双方力量争斗的结果。它以前一日的收盘价为基础，与当日的最高价、最低价相比较，通过昨日收盘价在股价中的地位反应市场买卖的人气。,170,1,M008002,items.br,BR指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
41,AROON指标计算自价格达到近期最高值和最低值以来所经过的期间数，帮助投资者预测证券价格趋势、强弱以及趋势的反转等。该指标由三部分组成： AROON上升数、 AROON下降数以及AROON指标。 AROON上升数和AROON下降数分别用以描述多头和空头的强弱。,169,1,M008003,items.aroon,AROON指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
42,CR指标以上一个计算周期（如N日）的中间价比较当前周期（如日）的最高价、最低价，计算出一段时期内股价的“强弱”，从而在分析一些股价的异常波动行情时，有其独到的功能。另外， CR指标不但能够测量人气的热度、价格动量的潜能，而且能够显示出股价的压力带和支撑带，为分析预测股价未来的变化趋势，判断买卖股票的时机提供重要的参考。,172,1,M008004,items.cr,CR能量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
43,钱德动量摆动指标是由图莎尔・钱德发明的，与其他动量指标摆动指标如相对强弱指标（RSI）和随机指标（KDJ）不同，钱德动量指标在计算公式的分子中采用上涨日和下跌日的数据。当动量摆动超过+50时，我们认为证券处于超买状态，当动量摆动低于-50时，我们认为证券处于超卖状态。一些技术投资者还在此摆动指标的基础上添加了九个周期的移动平均线，以作为信号线。当摆动线在信号线上方时，是多头的信号；当摆动先位于信号线下方时，是空头的信号。,171,1,M008005,items.cmo,CMO钱德动量摆动指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
44,除了时间区间的长度是变动而不是固定的，DMI动态动量指标与相对强弱指标是一致的。价格的波动性越高，DMI对价格的变化就越敏感。,173,1,M008006,items.dmi,DMI动态动量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
45,IMI日内动量指标，通过计算过去一段周期内收盘价与开盘价的关系，来反应股票的买卖平衡。一般当IMI低于30，我们认为股票处于超卖状态；当IMI高于70，我们认为股票处于超买状态。,174,1,M008007,items.imi,IMI日内动量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
46,质量指标通过度量最高价与最低价之间区间的变宽和变窄来辨别趋势反转。,175,0,M008008,items.mi,MI质量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
47,MTM动量指标通过计算股价波动的速度，得出股价进入强势的高峰和转入弱势的低谷等不同讯号，,176,1,M008009,items.mtm,MTM动量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
48,RMI相对动量指标是相对强弱指标加上动量成分后的变形，相对动量指标从收盘价相对于n期前收盘价计算上涨交易日和下跌交易日。,177,1,M008010,items.rmi,RMI相对动量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
49,SMI随机动量指标基于股价变化与股价波动区间的联系，刻画出当前股价与近期股价波动的关系，对股价是否会反转或延续当前的趋势有一个基本的判读。,178,1,M008011,items.smi,SMI随机动量指标,M008,W,metrics.comm_idx_tech_his_a,2007-04-30
50,ARC指标是股票的价格变化率RC指标的均值，用以判断前一段交易周期内股票的平均价格变化率。,212,0,M009001,items.arc,ARC变化率指数均值,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
51,乖离率（BIAS）简称Y值也叫偏离率，是反映一定时期内股价与其移动平均数偏离程度的指标。移动平均数一般可视为某一时期内买卖双方都能接受的均衡价格。因此，股价距离移动平均线太远时会重新向平均线靠拢。乖离率指标就是通过测算股价在波动过程中与移动平均线出现的偏离程度，从而得出股价在剧烈波动时因偏离移动平均趋势可能形成的回档或反弹。,213,0,M009002,items.bias,BIAS乖离率,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
52,CCI指标测量当前价格对近期平均价格的偏离程度。商品通道指标数值高则当前价格高于平均价格，反之亦然。作为超买超卖指标，商品通道指标能预测价格趋势的背离。,214,1,M009003,items.cci,CCI商品通道指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
53,佳庆指标是基于AD曲线的指数移动均线而计算得到的。,215,0,M009004,items.cho,CHO蔡金震荡指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
54,DBCD异同离差乖离率先计算乖离率BIAS，然后计算不同日的乖离率之间的离差，最后对离差进行指数移动平滑处理。优点是能够保持指标的紧密同步，并且线条光滑，信号明确，能够有效的过滤掉伪信号。,216,0,M009005,items.dbcd,DBCD异同离差乖离率,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
55,DDI指标，即方向标准离差指数，一般用于观察一段时间内股价相对于前一天向上波动 和向下波动的比例，并对其进行移动平均分析。通过分析DDI柱状线，可以判断是买入信号还是卖出信号。,217,1,M009006,items.ddi,DDI方向标准离差指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
56,MFI指标是RSI扩展指标，MFI指标用成交金额代替的指数，是某一时间周期内上涨的成交量之和与下跌的成交量之和的比率。MFI>80为超买，当其回头向下跌破80时，为短线卖出时机。MFI<20为超卖，当其回头向上突破20时，为短线买进时机 ,218,1,M009007,items.mfi,MFI货币流量指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
57,RSI指标多在30-70之间变动，通常80甚至90时被认为市场已到达超买状态，至此市场价格自然会回落调整。当价格低跌至30以下即被认为是超卖状态，市价将出现反弹回升。,219,1,M009008,items.rsi,RSI相对强弱指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
58,随机摆动指标比较证券的收盘价相对于给定时间内价格区间的位置，随机摆动指标是两条曲线，主线叫做%K线，第二条线叫做%D线。,220,0,M009009,items.so,SO随机摆动指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
59,SRSI指标将震荡指标和RSI指标结合在一起，与普通的震荡指标基于价格相比SRSI基于RSI指标。通常当RSI低于20时为超卖，大于80时为超买。,221,1,M009010,items.srsi,SRSI随机相对强弱指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
60,SWI指标通过比较当期价格（也就是开盘价、最高价、最低价和收盘价）与前期价格之间的关系来分离出“真实的”证券价格。,222,1,M009011,items.swi,SWI摆动指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
61,TSI指标可以用来判断市场趋势，TSI 线上扬表示上升趋势。反之，TSI 线下挫表示下跌趋势。也可以用来识别超买超卖，当TSI值高于25视为处于超买区，表明价格可能发生反转。值低于-25视为超卖，也表明价格可能发生反转。在超买区和超卖区，释放出买进和卖出信号。,223,1,M009012,items.tsi,TSI真实强度指数,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
62,UOS指标比一般单一参数的振荡指标，更能够顺应各种不同的市况。UOS是一种多方位功能的指标，除了趋势确认及超买超卖方面的作用之外，它的“突破”讯号，不仅可以提供最适当的交易时机之外，更可以进一步加强指标的可靠度。,224,1,M009013,items.uos,UOS终极振荡指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
63,累积是用于描述被买方控制的市场术语，派发则是描述被卖方控制的市场。该指标是拉里.威廉姆斯（Larry Williams）发明，他建议基于背离来运用该指标进行交易。,225,0,M009014,items.wad,WAD威廉姆斯累积/派发指标,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
64,威廉姆斯W%R是度量超买/超卖水平的动量指标，是由拉里.威廉姆斯（Larry Williams）发明的。为了以倒转的刻度来显示威廉姆斯%R指标，因此常用负值描绘，指标绝对值介于80%-100%时表示证券被超卖，1-20%表示被超买。该指标几乎总能在证券价格达到峰顶再转而下跌之前数日形成峰顶转而下跌，同样，在价格转而上涨之前创出谷底并转而上涨。,226,0,M009015,items.w%r,W%R威廉姆百分之R,M009,W,metrics.comm_idx_tech_his_a,2007-04-30
65,AD指标将每日的成交量通过价格加权累计，用以计算成交量的动量。,199,0,M010001,items.ad,AD累计派发线指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
66,CMF指标基于这样的假设，即强势市场（处于上升趋势的市场）通常都伴随着位于日最高价与最低价之间上半部分的收盘价以及放大的成交量。与此相反，弱势市场（处于下跌趋势的市场）通常都伴随着位于日最高价与最低价之间的下半部分的收盘价以及放大的成交量。如果在成交量放大的同时，价格持续收于日最高价与最低价之间的上半部分，那么该指标将会是正值，表示该证券处于强势之中。相反，如果在成交量放大的同时，价格持续收于日最高价与最低价之间的下半部分，那么该指标将是负值，表示该证券处于弱势之中。,200,1,M010002,items.cmf,CMF蔡金货币流量指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
67,KVO指标的目的是为了观察短期和长期股票资金的流入和流出的情况。它的主要用途是确认股票价格趋势的方向和强度。用它来判断股价趋势方向，如果股价是上升趋势，它的摆动范围靠上（大于0的方向）；如果是下降趋势，它的摆动范围靠下（小于0的方向）。,201,1,M010003,items.kvo,KVO克林格成交量摆动指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
68,NVI指标通过成交量的变化去判别当前的行情是不是由精明投资者驱动。简单的投资者在成交量大的时候交易，精明投资者通常在成交量小的时候交易。,202,1,M010004,items.nvi,NVI负量指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
69,OBV指标的理论基础是市场价格的有效变动必须有成交量配合，量是价的先行指标。利用OBV可以验证当前股价走势的可靠性，并可以得到趋势可能反转的信号。比起单独使用成交量来，OBV看得更清楚。,203,1,M010005,items.obv,OBV能量潮,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
70,PVI指标，其主要作用是辨别目前市场行情是处于多头行情还是空头行情，并追踪市场资金流向。识别主力资金是否在不动声色地购进股票或抛出，从而得出市场的操作策略。,204,1,M010006,items.pvi,PVI正量指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
71,PVT指标与OBV指标类似，区别是计算PVT指标时，当收盘价大于前收盘价时只有部分成交量会累加到之前的PVT指标上。,205,1,M010007,items.pvt,PVT价量趋势指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
72,VAMA指标与MA均线不同的是，根据成交量来确定每期价格的权重。更能反应量价变动的趋势。,206,1,M010008,items.vama,VAMA成交量加权移动平均,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
73,VO指标由成交量的两条均线计算得来，通常与价格的趋势指标配合使用，通过量价结合的分析，判断当前行情的趋势。,207,1,M010009,items.vo,VO成交量摆动指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
74,VOSC指标又名移动平均成交量指标，但是，它并非仅仅计算成交量的移动平均线，而是通过对成交量的长期移动平均线和短期移动平均线之间的比较，分析成交量的运行趋势和及时研判趋势转变方向。先分别计算短期移动平均线(SHORT)和长期移动平均线(LONG)，然后算两者的差值，再求差值与短期移动平均线(SHORT)的比，最后将比值放大100倍，得到VOSC值。,208,1,M010010,items.vosc,VOSC移动平均成交量指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
75,VR指标通过分析股价上升日成交额（或成交量，下同）与股价下降日成交额比值，从而掌握市场买卖气势的中期技术指标。主要用于个股分析，其理论基础是“量价同步”及“量须先于价”，以成交量的变化确认低价和高价，从而确定买卖时法。,209,1,M010011,items.vr,VR成交量比率指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
76,VROC指标是以今天的成交量和N天前的成交量比较，通过计算某一段时间内成交量变动的幅度，应用成交量的移动比较来测量成交量运动趋向，达到事先探测成交量供需的强弱，进而分析成交量的发展趋势及其将来是否有转势的意愿，属于成交量的反趋向指标。,210,1,M010012,items.vroc,VROC成交量变动速率指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
77,VRSI是市场成交量的相对强弱指标，通过动态分析成交量的变化，识破庄家的盘中对敲、虚假放量，虚假买卖盘等欺骗手段，从真实的量能变化中找出庄家的战略意图，从而达到安全跟庄、稳定获利的投资目标。,211,1,M010013,items.vrsi,VRSI成交量相对强弱指标,M010,W,metrics.comm_idx_tech_his_a,2007-04-30
78,平均真实波幅(ATR)是显示市场变化率的指标。ATR不指示价格的变动方向，只表示价格的波动程度。而价格波动幅度的突破通常也预示着价格的突破。即：该指标价值越高，趋势改变的可能性就越高；该指标的价值越低，趋势的移动性就越弱。,191,0,M011001,items.atr,ATR平均真实波幅,M011,W,metrics.comm_idx_tech_his_a,2007-04-30
79,CVI指标计算最高价与最低价的价差均值来衡量股价的波动率，与ATR不同的是CVI指标没有考虑周期间价格的跳空。在实际使用过程中，CVI指标结合用均线等其他趋势指标去增加趋势判断的准确率。,192,1,M011002,items.cvi,CVI蔡金波动率指标,M011,W,metrics.comm_idx_tech_his_a,2007-04-30
80,"Q棒指标是一种振荡类股票技术指标, 它通过计算交易日内收盘价与开盘价的关系来反映股价趋势的方向与强度。",193,1,M011003,items.qst,QST指标,M011,W,metrics.comm_idx_tech_his_a,2007-04-30
81,RI区域指标计算了期间内股票最高价到最低价的区域超过了期间之间收盘价到收盘价的区域的时间，可用于辨别趋势的开始与结束。,194,1,M011004,items.ri,RI区域指标,M011,W,metrics.comm_idx_tech_his_a,2007-04-30
